,meanNDVI,meanNDWI,geometry
0,0.4633295668496026,-0.48819153176413643,"POLYGON ((80.06328892697135 12.80784696120986, 80.06358892697135 12.80784696120986, 80.06358892697135 12.80754696120986, 80.06328892697135 12.80754696120986, 80.06328892697135 12.80784696120986))"
1,0.4752516547838847,-0.4983210563659668,"POLYGON ((80.06328892697135 12.80754696120986, 80.06358892697135 12.80754696120986, 80.06358892697135 12.80724696120986, 80.06328892697135 12.80724696120986, 80.06328892697135 12.80754696120986))"
2,0.4806514216793908,-0.5065403481324514,"POLYGON ((80.06328892697135 12.80724696120986, 80.06358892697135 12.80724696120986, 80.06358892697135 12.80694696120986, 80.06328892697135 12.80694696120986, 80.06328892697135 12.80724696120986))"
3,0.4564625422159831,-0.49826322661505806,"POLYGON ((80.06328892697135 12.80694696120986, 80.06358892697135 12.80694696120986, 80.06358892697135 12.80664696120986, 80.06328892697135 12.80664696120986, 80.06328892697135 12.80694696120986))"
4,0.4616577873627345,-0.48971356451511383,"POLYGON ((80.06328892697135 12.80664696120986, 80.06358892697135 12.80664696120986, 80.06358892697135 12.80647644964199, 80.06328892697135 12.80647644964199, 80.06328892697135 12.80664696120986))"
5,0.3909980629881223,-0.46584421396255493,"POLYGON ((80.06358892697135 12.80784696120986, 80.06388892697134 12.80784696120986, 80.06388892697134 12.80754696120986, 80.06358892697135 12.80754696120986, 80.06358892697135 12.80784696120986))"
6,0.3774893078953028,-0.45129874907433987,"POLYGON ((80.06358892697135 12.80754696120986, 80.06388892697134 12.80754696120986, 80.06388892697134 12.80724696120986, 80.06358892697135 12.80724696120986, 80.06358892697135 12.80754696120986))"
7,0.36444199085235596,-0.44276700417200726,"POLYGON ((80.06358892697135 12.80724696120986, 80.06388892697134 12.80724696120986, 80.06388892697134 12.80694696120986, 80.06358892697135 12.80694696120986, 80.06358892697135 12.80724696120986))"
8,0.3707534223794937,-0.4474777231613795,"POLYGON ((80.06358892697135 12.80694696120986, 80.06388892697134 12.80694696120986, 80.06388892697134 12.80664696120986, 80.06358892697135 12.80664696120986, 80.06358892697135 12.80694696120986))"
9,0.3677058182656765,-0.44130660966038704,"POLYGON ((80.06358892697135 12.80664696120986, 80.06388892697134 12.80664696120986, 80.06388892697134 12.80647644964199, 80.06358892697135 12.80647644964199, 80.06358892697135 12.80664696120986))"
10,0.3046638187434938,-0.42436249057451886,"POLYGON ((80.06388892697134 12.80784696120986, 80.06418892697134 12.80784696120986, 80.06418892697134 12.80754696120986, 80.06388892697134 12.80754696120986, 80.06388892697134 12.80784696120986))"
11,0.30869972954193753,-0.41410113374392193,"POLYGON ((80.06388892697134 12.80754696120986, 80.06418892697134 12.80754696120986, 80.06418892697134 12.80724696120986, 80.06388892697134 12.80724696120986, 80.06388892697134 12.80754696120986))"
12,0.43816357519891524,-0.4768967098659939,"POLYGON ((80.06388892697134 12.80724696120986, 80.06418892697134 12.80724696120986, 80.06418892697134 12.80694696120986, 80.06388892697134 12.80694696120986, 80.06388892697134 12.80724696120986))"
13,0.5966438915994432,-0.5701772570610046,"POLYGON ((80.06388892697134 12.80694696120986, 80.06418892697134 12.80694696120986, 80.06418892697134 12.80664696120986, 80.06388892697134 12.80664696120986, 80.06388892697134 12.80694696120986))"
14,0.5731638918320338,-0.5490081608295441,"POLYGON ((80.06388892697134 12.80664696120986, 80.06418892697134 12.80664696120986, 80.06418892697134 12.80647644964199, 80.06388892697134 12.80647644964199, 80.06388892697134 12.80664696120986))"
15,0.36228035555945504,-0.4447674850622813,"POLYGON ((80.06418892697134 12.80784696120986, 80.06448892697134 12.80784696120986, 80.06448892697134 12.80754696120986, 80.06418892697134 12.80754696120986, 80.06418892697134 12.80784696120986))"
16,0.33252541969219845,-0.42843393981456757,"POLYGON ((80.06418892697134 12.80754696120986, 80.06448892697134 12.80754696120986, 80.06448892697134 12.80724696120986, 80.06418892697134 12.80724696120986, 80.06418892697134 12.80754696120986))"
17,0.4905846185154385,-0.5094056261910332,"POLYGON ((80.06418892697134 12.80724696120986, 80.06448892697134 12.80724696120986, 80.06448892697134 12.80694696120986, 80.06418892697134 12.80694696120986, 80.06418892697134 12.80724696120986))"
18,0.7510340743594699,-0.650690131717258,"POLYGON ((80.06418892697134 12.80694696120986, 80.06448892697134 12.80694696120986, 80.06448892697134 12.80664696120986, 80.06418892697134 12.80664696120986, 80.06418892697134 12.80694696120986))"
19,0.729067305723826,-0.6316335201263428,"POLYGON ((80.06418892697134 12.80664696120986, 80.06448892697134 12.80664696120986, 80.06448892697134 12.80647644964199, 80.06418892697134 12.80647644964199, 80.06418892697134 12.80664696120986))"
20,0.5367745632926623,-0.5282621284325918,"POLYGON ((80.06448892697134 12.80784696120986, 80.06478892697133 12.80784696120986, 80.06478892697133 12.80754696120986, 80.06448892697134 12.80754696120986, 80.06448892697134 12.80784696120986))"
21,0.47359525971114635,-0.4983772933483124,"POLYGON ((80.06448892697134 12.80754696120986, 80.06478892697133 12.80754696120986, 80.06478892697133 12.80724696120986, 80.06448892697134 12.80724696120986, 80.06448892697134 12.80754696120986))"
22,0.5840485319495201,-0.5526266222198805,"POLYGON ((80.06448892697134 12.80724696120986, 80.06478892697133 12.80724696120986, 80.06478892697133 12.80694696120986, 80.06448892697134 12.80694696120986, 80.06448892697134 12.80724696120986))"
23,0.7183893322944641,-0.6207777162392935,"POLYGON ((80.06448892697134 12.80694696120986, 80.06478892697133 12.80694696120986, 80.06478892697133 12.80664696120986, 80.06448892697134 12.80664696120986, 80.06448892697134 12.80694696120986))"
24,0.6861266270279884,-0.6047926917672157,"POLYGON ((80.06448892697134 12.80664696120986, 80.06478892697133 12.80664696120986, 80.06478892697133 12.80647644964199, 80.06448892697134 12.80647644964199, 80.06448892697134 12.80664696120986))"
25,0.6735801100730896,-0.5940340823597379,"POLYGON ((80.06478892697133 12.80784696120986, 80.06508892697133 12.80784696120986, 80.06508892697133 12.80754696120986, 80.06478892697133 12.80754696120986, 80.06478892697133 12.80784696120986))"
26,0.7123095144828161,-0.6130781670411428,"POLYGON ((80.06478892697133 12.80754696120986, 80.06508892697133 12.80754696120986, 80.06508892697133 12.80724696120986, 80.06478892697133 12.80724696120986, 80.06478892697133 12.80754696120986))"
27,0.7367872794469198,-0.6295734975073073,"POLYGON ((80.06478892697133 12.80724696120986, 80.06508892697133 12.80724696120986, 80.06508892697133 12.80694696120986, 80.06478892697133 12.80694696120986, 80.06478892697133 12.80724696120986))"
28,0.6894081499841478,-0.5989360875553555,"POLYGON ((80.06478892697133 12.80694696120986, 80.06508892697133 12.80694696120986, 80.06508892697133 12.80664696120986, 80.06478892697133 12.80664696120986, 80.06478892697133 12.80694696120986))"
29,0.6038596630096436,-0.5695544878641764,"POLYGON ((80.06478892697133 12.80664696120986, 80.06508892697133 12.80664696120986, 80.06508892697133 12.80647644964199, 80.06478892697133 12.80647644964199, 80.06478892697133 12.80664696120986))"
30,0.6920218335257636,-0.6012639866934882,"POLYGON ((80.06508892697133 12.80784696120986, 80.06538105000297 12.80784696120986, 80.06538105000297 12.80754696120986, 80.06508892697133 12.80754696120986, 80.06508892697133 12.80784696120986))"
31,0.7057712574799856,-0.612697591384252,"POLYGON ((80.06508892697133 12.80754696120986, 80.06538105000297 12.80754696120986, 80.06538105000297 12.80724696120986, 80.06508892697133 12.80724696120986, 80.06508892697133 12.80754696120986))"
32,0.7206917405128479,-0.6213636530770196,"POLYGON ((80.06508892697133 12.80724696120986, 80.06538105000297 12.80724696120986, 80.06538105000297 12.80694696120986, 80.06508892697133 12.80694696120986, 80.06508892697133 12.80724696120986))"
33,0.6846993300649855,-0.6021800107426114,"POLYGON ((80.06508892697133 12.80694696120986, 80.06538105000297 12.80694696120986, 80.06538105000297 12.80664696120986, 80.06508892697133 12.80664696120986, 80.06508892697133 12.80694696120986))"
34,0.5690897901852926,-0.5445198516050974,"POLYGON ((80.06508892697133 12.80664696120986, 80.06538105000297 12.80664696120986, 80.06538105000297 12.80647644964199, 80.06508892697133 12.80647644964199, 80.06508892697133 12.80664696120986))"
